corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tondano	gulamera	0001	#	#	##	##				
tondano	gulamera	0001	ka-tarè-tarè	very-RDP-new	other	other				
tondano	gulamera	0001	si=	3SG.NOM=	=pro.h:a_a	=pro	h	a_a		
tondano	gulamera	0001	<um>èdo	<AV>take	v:pred	v		pred		
tondano	gulamera	0001	tabelang	hard.bamboo	np:p_a	np		p_a		
tondano	gulamera	0002	#	#	##	##				
tondano	gulamera	0002	pa-siwo-en	DYN-do-PV	v:pred	v		pred		
tondano	gulamera	0002	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	gulamera	0002	N=	INAN=	=ln	=ln				
tondano	gulamera	0002	tangga	ladder	np:p_u	np		p_u		
tondano	gulamera	0003	#	#	##	##				
tondano	gulamera	0003	pa-siwo-en	DYN-do-PV	v:pred	v		pred		
tondano	gulamera	0003	=na	=3SG.GEN	=pro.h:a_u	=pro	h	a_u		
tondano	gulamera	0003	=la	=DIR.PROX	=rv	=rv				
tondano	gulamera	0003	N=	INAN=	=ln	=ln				
tondano	gulamera	0003	tangga	ladder	np:p_u	np		p_u		
tondano	gulamera	0003	#	#	##	##				
tondano	gulamera	0003	tu	then	other	other				
tondano	gulamera	0003	ZERO	ZERO	0:p_u	0		p_u		
tondano	gulamera	0003	i-rèdèi	CV-stand.up	v:pred	v		pred		
tondano	gulamera	0003	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	gulamera	0003	=mèè	=DIR.MED	=rv	=rv				
tondano	gulamera	0003	witu	PREP2	adp	adp				
tondano	gulamera	0004	N=	INAN=	=ln	=ln				
tondano	gulamera	0005	tabelang	hard.bamboo	np:l	np		l		
tondano	gulamera	0005	esa	one	rn	rn				
tondano	gulamera	0006	#	#	##	##				
tondano	gulamera	0006	tu	then	other	other				
tondano	gulamera	0006	ZERO	ZERO	0:p_u	0		p_u		
tondano	gulamera	0006	i-wa'akes	CV-tie.with.string	v:pred	v		pred		
tondano	gulamera	0006	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	gulamera	0006	=la	=DIR.PROX	=rv	=rv				
tondano	gulamera	0007	#	#	##	##				
tondano	gulamera	0007	si=	3SG.NOM=	=pro.h:p_u	=pro	h	p_u		
tondano	gulamera	0007	pa-turu'-en	DYN-indicate-PV	v:pred	v		pred		
tondano	gulamera	0007	=pè'	=INCMP	=rv	=rv				
tondano	gulamera	0007	ni=	AN.SG.GEN=	=ln	=ln				
tondano	gulamera	0007	tuama	man	np.h:a_u	np	h	a_u		
tondano	gulamera	0007	esa	one	rn	rn				
tondano	gulamera	0008	#	#	#ac	#ac				
tondano	gulamera	0008	ka'a	because	other	other				
tondano	gulamera	0008	si=	3SG.NOM=	=pro.h:s	=pro	h	s		
tondano	gulamera	0008	ma-Ce-longkot	AV.DYN-IRR-climb.up	v:pred	v		pred		
tondano	gulamera	0008	witu	PREP2	adp	adp				
tondano	gulamera	0008	N=	INAN=	=ln	=ln				
tondano	gulamera	0008	tabelang	hard.bamboo	np:g	np		g		
tondano	gulamera	0009	i-ka-ayo	CV.POT-arrive(until)	adp	adp				
tondano	gulamera	0009	=mèè	=DIR.DIST	=lv	=lv				
tondano	gulamera	0009	witu	PREP2	lv	lv				
tondano	gulamera	0010	N=	INAN=	=ln	=ln				
tondano	gulamera	0010	towana	roof	np:g	np		g		
tondano	gulamera	0010	#	#	##	##				
tondano	gulamera	0010	N=	INAN=	=ln	=ln				
tondano	gulamera	0010	wewèan	EXIST	other:predex	other		predex		
tondano	gulamera	0011	N=	INAN=	=ln	=ln				
tondano	gulamera	0011	pa-èdo-an	NR-take-LV	np:s	np		s		
tondano	gulamera	0012	ee	HES	nc	nc				
tondano	gulamera	0012	timpa'	palm.sugar.sap	rn_np	rn_np				
tondano	gulamera	0013	#	#	##	##				
tondano	gulamera	0013	i-ka-ayo	CV.POT-arrive	other	other				
tondano	gulamera	0013	=mèè	=DIR.DIST	=other	=other				
tondano	gulamera	0013	waki	PREP3	adp	adp				
tondano	gulamera	0013	ujung	tip	np:pred_l	np		pred_l		
tondano	gulamera	0013	sia	3SG.	pro.h:s	pro	h	s		
tondano	gulamera	0014	#	#	##	##				
tondano	gulamera	0014	wo	and	other	other				
tondano	gulamera	0014	tu	then	other	other				
tondano	gulamera	0015	si=	3SG.NOM=	=pro.h:s	=pro	h	s		
tondano	gulamera	0015	<im>ana'	AV.PST-stay	v:pred	v		pred		
tondano	gulamera	0015	=pè'	=INCMP	=rv	=rv				
tondano	gulamera	0015	=la	=DIR.PROX	=rv	=rv				
tondano	gulamera	0016	#	#	##	##				
tondano	gulamera	0016	si=	3SG.NOM=	=pro.h:a_a	=pro	h	a_a		
tondano	gulamera	0016	ma-èdo	AV.DYN-take	v:pred	v		pred		
tondano	gulamera	0016	=pè'	=INCMP	=rv	=rv				
tondano	gulamera	0016	ZERO	ZERO	0:p_a	0		p_a		
tondano	gulamera	0016	ee	HES	nc	nc				
tondano	gulamera	0016	keter-an	power	rv	rv				
tondano	gulamera	0017	#	#	#ac	#ac				
tondano	gulamera	0017	ka'a	because	other	other				
tondano	gulamera	0017	si=	3SG.NOM=	=pro.h:a_a	=pro	h	a_a		
tondano	gulamera	0017	me-Ce-wè'wèl	AV.DYN-IRR-tap	v:pred	v		pred		
tondano	gulamera	0017	ZERO	ZERO	0:p_a	0		p_a		
tondano	gulamera	0018	#	#	##	##				
tondano	gulamera	0018	aa	HES	nc	nc				
tondano	gulamera	0018	ZERO	ZERO	0.h:a_a	0	h	a_a		
tondano	gulamera	0018	<im>èdo	<AV.PST>take	v:pred	v		pred		
tondano	gulamera	0018	=mow	=CMP	=rv	=rv				
tondano	gulamera	0018	N=	INAN=	=ln	=ln				
tondano	gulamera	0018	tabelang	hard.bamboo	np:p_a	np		p_a		
tondano	gulamera	0019	#	#	#	#				
tondano	gulamera	0019	o	PART	nc	nc				
tondano	gulamera	0019	ZERO	ZERO	0:p_u	0		p_u		
tondano	gulamera	0019	nèy	CV.PST	lv	lv				
tondano	gulamera	0019	pa-wa'akes-en	DYN-tie.with.string-PV	v:pred	v		pred		
tondano	gulamera	0019	=na	=3SG.GEN	=pro.h:a_u	=pro	h	a_u		
tondano	gulamera	0019	=pè'	=INCMP	=rv	=rv				
tondano	gulamera	0020	#	#	##	##				
tondano	gulamera	0020	a	PART	nc	nc				
tondano	gulamera	0020	niana	DEM1	pro:p_u	pro		p_u		
tondano	gulamera	0020	=mow	=CMP	=other	=other				
tondano	gulamera	0020	i-paka-wa'akes	CV.COMP-tie.with.string	v:pred	v		pred		
tondano	gulamera	0020	ZERO	ZERO	0.h:a_u	0	h	a_u		
tondano	gulamera	0021	#	#	##	##				
tondano	gulamera	0021	kela	PART	nc	nc				
tondano	gulamera	0021	entè'	strong	other	other				
tondano	gulamera	0021	kowman	meanwhile	lv	lv				
tondano	gulamera	0021	ZERO	ZERO	0:p_u	0		p_u		
tondano	gulamera	0021	kapa-we'akes	MANN-tie.with.string	v:pred	v		pred		
tondano	gulamera	0021	tuama	man	np.h:a_u	np	h	a_u		
tondano	gulamera	0021	iti'i	DEM2	rn	rn				
tondano	gulamera	0022	#	#	##	##				
tondano	gulamera	0022	si=	3SG.NOM=	=pro.h:s	=pro	h	s		
tondano	gulamera	0022	witu	PREP2	adp	adp				
tondano	gulamera	0022	=mow	=CMP	=other	=other				
tondano	gulamera	0022	ujung	tip	ln	ln				
tondano	gulamera	0022	N=	INAN=	=ln	=ln				
tondano	gulamera	0022	akel	sugar.palm.tree	np:pred_l	np		pred_l		
tondano	gulamera	0022	ya	AFF	nc	nc				
tondano	gulamera	0023	#	#	##	##				
tondano	gulamera	0023	a	PART	nc	nc				
tondano	gulamera	0023	nèy	CV.PST	lv	lv				
